span_id,from,to,region,depth_m,status,splice_family,priority_base,current_corridor,length_nm
SPAN-001,SHORE-N,RPT-ALPHA,NORTH,1700,OK,GLASS-A,31,C-NE-01,22.5
SPAN-002,RPT-ALPHA,RPT-BETA,NORTH,2600,BROKEN,GLASS-A,86,C-NE-02,39.2
SPAN-003,RPT-BETA,RPT-GAMMA,GLASS,3300,OK,GLASS-B,45,C-GL-01,31.4
SPAN-004,RPT-GAMMA,HUB-REEF,GLASS,4100,BROKEN,GLASS-B,95,C-GL-02,46.8
SPAN-005,HUB-REEF,RPT-DELTA,GLASS,4700,BROKEN,DEEP-ARMOR,91,C-GL-03,57.6
SPAN-006,RPT-DELTA,RPT-EPSILON,GLASS,4300,OK,GLASS-C,51,C-GL-04,43.9
SPAN-007,RPT-EPSILON,RPT-ZETA,SOUTH,2900,BROKEN,GLASS-C,78,C-SO-01,34.5
SPAN-008,RPT-ZETA,SHORE-S,SOUTH,1800,OK,SHORE-FLEX,35,C-SO-02,26.1
SPAN-009,HUB-REEF,LAND-EAST,EAST,2200,BROKEN,SHORE-FLEX,83,C-EA-01,41.7
SPAN-010,RPT-BETA,OBS-TIDE,NORTH,2500,OK,GLASS-A,39,C-NE-03,19.8
SPAN-011,HUB-REEF,OBS-MOON,GLASS,3900,OK,GLASS-B,47,C-GL-05,28.4
SPAN-012,RPT-DELTA,LAND-WEST,WEST,4500,OFFLINE,DEEP-ARMOR,68,C-WE-01,53.3
